NIST_800_171_Control,Control_Title,CMMC_Level,CMMC_Domain,SOC2_TSC_Mapping,ISO27001_Mapping,FedRAMP_800_53_Mapping,Aegis_Status,Reuse_Potential,Gap_Notes
03.01.01,Account Management,2,Access Control (AC),CC6.1;CC6.2;CC6.3,A.5.15;A.5.16;A.5.18,AC-2,Implemented,High,Onboard/offboard procedures exist
03.01.02,Access Enforcement,2,Access Control (AC),CC6.1;CC6.6,A.5.15;A.8.3,AC-3,Implemented,High,RBAC in place via Keycloak
03.01.03,Information Flow Enforcement,2,Access Control (AC),CC6.1,A.8.22,AC-4,Partial,Medium,Need network segmentation docs
03.01.04,Separation of Duties,2,Access Control (AC),CC6.1,A.5.3,AC-5,Partial,Medium,Solo founder - compensating controls needed
03.01.05,Least Privilege,2,Access Control (AC),CC6.1;CC6.7,A.5.15,AC-6,Implemented,High,RBAC with minimal permissions
03.01.06,Least Privilege – Privileged Accounts,2,Access Control (AC),CC6.1;CC6.7,A.5.15,AC-6(5),Implemented,High,RBAC with minimal permissions
03.01.07,Least Privilege – Privileged Functions,2,Access Control (AC),CC6.1;CC6.7,A.5.15,"AC-6(9),AC-6(10)",Implemented,High,RBAC with minimal permissions
03.01.08,Unsuccessful Logon Attempts,2,Access Control (AC),CC6.6,A.8.3,AC-7,Implemented,High,Keycloak lockout policy
03.01.09,System Use Notification,2,Access Control (AC),CC6.1,A.5.10,AC-8,Not Implemented,Low,Need login banner
03.01.10,Device Lock,2,Access Control (AC),CC6.6,A.8.1,AC-11,Partial,Medium,Endpoint policy needed
03.01.11,Session Termination,2,Access Control (AC),CC6.6,A.8.3,AC-12,Implemented,High,Session timeout in Keycloak
03.01.12,Remote Access,2,Access Control (AC),CC6.6,A.6.7,AC-17,Implemented,High,VPN/mTLS in place
03.01.16,Wireless Access,2,Access Control (AC),CC6.6,A.8.20,AC-18,Inherited/N/A,N/A,Cloud-hosted - no wireless infra
03.01.18,Access Control for Mobile Devices,2,Access Control (AC),CC6.6,A.8.1,AC-19,Partial,Medium,Need mobile device policy
03.01.20,Use of External Systems,2,Access Control (AC),CC6.6;CC6.7,A.5.19,AC-20,Partial,Medium,Need external system policy
03.01.22,Publicly Accessible Content,2,Access Control (AC),CC6.1,A.5.33,AC-22,Implemented,High,No public content hosting
03.02.01,Literacy Training and Awareness,2,Awareness and Training (AT),CC1.4,A.6.3,AT-2,Partial,Medium,Solo founder - need evidence
03.02.02,Role-Based Training,2,Awareness and Training (AT),CC1.4,A.6.3,AT-3,Partial,Medium,Need specialized training records
03.03.01,Event Logging,2,Audit and Accountability (AU),CC7.2,A.8.15,AU-2,Implemented,High,Structured logging in place
03.03.02,Audit Record Content,2,Audit and Accountability (AU),CC7.2,A.8.15,AU-3,Implemented,High,Rich audit log format
03.03.03,Audit Record Generation,2,Audit and Accountability (AU),CC7.2,A.8.15,AU-12,Implemented,High,Application audit logging
