Control_ID,TSC_Category,Control_Statement,Owner,Frequency,System_Tool,Evidence_Required,Evidence_Location,How_To_Generate,Status,Exceptions,Notes
CC1.1,Control Environment,Management demonstrates commitment to integrity and ethical values,CEO,Annual,Handbook/Policy,Code of conduct signed by all personnel,compliance-evidence/soc2/YYYY/training-policy-ack/,HR system export or signed acknowledgments,NEEDS_IMPLEMENTATION,None,Create code of conduct document
CC1.2,Control Environment,Board/management provides oversight of security program,CEO,Quarterly,Meeting Notes,Security review meeting minutes,compliance-evidence/soc2/YYYY/YYYY-MM/governance/,Meeting notes with security discussion,NEEDS_IMPLEMENTATION,None,Document quarterly security reviews
CC1.3,Control Environment,Management establishes structures and reporting lines,CEO,Annual,Org Chart,Org chart showing security responsibilities,compliance-evidence/soc2/YYYY/governance/,Export org chart with roles,NEEDS_IMPLEMENTATION,None,Small team - document roles clearly
CC1.4,Control Environment,Organization demonstrates commitment to competence,CEO,Annual,HR/Training,Training records and job descriptions,compliance-evidence/soc2/YYYY/training-policy-ack/,Training completion exports,NEEDS_IMPLEMENTATION,None,Security awareness training needed
CC1.5,Control Environment,Organization enforces accountability,CEO,Annual,HR Policy,Performance reviews include security,compliance-evidence/soc2/YYYY/governance/,Policy document + review template,NEEDS_IMPLEMENTATION,None,Document security in reviews
CC2.1,Communication,Organization communicates security information internally,Security Lead,Ongoing,Slack/Email,Security announcements and updates,compliance-evidence/soc2/YYYY/YYYY-MM/communication/,Email/Slack exports,NEEDS_IMPLEMENTATION,None,Establish security channel
CC2.2,Communication,Organization communicates with external parties,Security Lead,As Needed,Email/Website,Customer security notifications,compliance-evidence/soc2/YYYY/YYYY-MM/communication/,Email records of notifications,NEEDS_IMPLEMENTATION,None,Create security@aegis.io
CC2.3,Communication,Organization communicates about internal control deficiencies,Security Lead,As Needed,Jira/Email,Issue tracking for deficiencies,compliance-evidence/soc2/YYYY/YYYY-MM/communication/,Jira exports of security issues,NEEDS_IMPLEMENTATION,None,Tag security issues in Jira
CC3.1,Risk Assessment,Organization specifies security objectives,Security Lead,Annual,Risk Assessment,Documented security objectives,compliance-evidence/soc2/YYYY/risk-management/,Risk assessment document,NEEDS_IMPLEMENTATION,None,Create formal risk assessment
CC3.2,Risk Assessment,Organization identifies and analyzes risks,Security Lead,Annual,Risk Register,Risk register with ratings,compliance-evidence/soc2/YYYY/risk-management/,Risk register spreadsheet,NEEDS_IMPLEMENTATION,None,Create risk register
CC3.3,Risk Assessment,Organization considers fraud risk,Security Lead,Annual,Risk Assessment,Fraud risk assessment,compliance-evidence/soc2/YYYY/risk-management/,Fraud controls in risk assessment,NEEDS_IMPLEMENTATION,None,Add fraud scenarios to risk assessment
CC3.4,Risk Assessment,Organization identifies and assesses changes,Security Lead,Ongoing,Change Mgmt,Change impact assessments,compliance-evidence/soc2/YYYY/YYYY-MM/change-management/,PR descriptions with security impact,PARTIAL,None,Document security impact in PRs
CC4.1,Monitoring,Organization selects and develops monitoring activities,Security Lead,Ongoing,Prometheus/Alerts,Monitoring configuration and alerts,compliance-evidence/soc2/YYYY/logging-monitoring/,Alert rules export,PARTIAL,None,Prometheus exists - document alerts
CC4.2,Monitoring,Organization evaluates and communicates deficiencies,Security Lead,Ongoing,Jira,Security findings and remediation,compliance-evidence/soc2/YYYY/YYYY-MM/vuln-management/,Jira security issue exports,NEEDS_IMPLEMENTATION,None,Create vuln tracking process
CC5.1,Control Activities,Organization selects and develops control activities,Security Lead,Annual,Control Matrix,This control matrix,compliance-evidence/soc2/YYYY/governance/,Export this document,IN_PROGRESS,None,This document
CC5.2,Control Activities,Organization selects and develops technology controls,Engineering Lead,Ongoing,GitHub/AWS,Technical control configurations,compliance-evidence/soc2/YYYY/YYYY-MM/ci-cd-security/,scripts/compliance exports,PARTIAL,None,Automation scripts needed
CC5.3,Control Activities,Organization deploys controls through policies,Security Lead,Ongoing,Policy Docs,Policies mapped to technical controls,compliance-evidence/soc2/YYYY/governance/,Policy with control mapping,PARTIAL,None,Policies exist - need mapping
CC6.1,Logical Access,Organization implements logical access security,Security Lead,Ongoing,GitHub/AWS/Keycloak,Access control configurations,compliance-evidence/soc2/YYYY/YYYY-MM/access-reviews/,export_github_security_baseline.sh,PARTIAL,None,Multiple systems - consolidate
CC6.2,Logical Access,Organization provisions and removes access,Security Lead,As Needed,GitHub/AWS/IdP,Provisioning and deprovisioning evidence,compliance-evidence/soc2/YYYY/YYYY-MM/access-reviews/,Onboarding/offboarding tickets,NEEDS_IMPLEMENTATION,None,Create formal process
CC6.3,Logical Access,Organization removes access upon termination,Security Lead,As Needed,GitHub/AWS/IdP,Termination access removal evidence,compliance-evidence/soc2/YYYY/YYYY-MM/access-reviews/,Offboarding checklist completion,NEEDS_IMPLEMENTATION,None,Create termination checklist
