SOC2_Control,SOC2_Description,ISO_Control,ISO_Title,Evidence_Reuse,Evidence_Location,Notes
CC1.1,Integrity and ethical values,A.5.1;A.5.4,Policies for information security; Management responsibilities,Yes - policies serve both,soc2/policies/information-security-policy.md,Direct mapping
CC1.2,Board/management oversight,Clause 5.1;A.5.2,Leadership commitment; Roles and responsibilities,Yes - org structure,iso27001/01-leadership-policy-roles.md,Management review adds ISO requirement
CC1.3,Organizational structure,A.5.2,Roles and responsibilities,Yes - org chart,iso27001/01-leadership-policy-roles.md,Direct mapping
CC1.4,Commitment to competence,A.6.3,Awareness education and training,Yes - training records,evidence-vault/soc2/YYYY/training-policy-ack/,Direct mapping
CC1.5,Accountability,A.5.4;A.6.4,Management responsibilities; Disciplinary process,Partial - ISO requires formal disciplinary process,soc2/policies/,A.6.4 gap for future hires
CC2.1,Internal communication,Clause 7.4;A.6.3,Communication; Awareness,Yes - awareness records,evidence-vault/soc2/YYYY/MM/communication/,Direct mapping
CC2.2,External communication,Clause 7.4;A.5.5,Communication; Contact with authorities,Partial - ISO requires authority contacts,iso27001/00-isms-scope-and-context.md,A.5.5 added
CC2.3,Internal control deficiencies,A.5.36;Clause 10.1,Compliance; Nonconformity,Yes - finding records,iso27001/09-corrective-actions-log.csv,Direct mapping
CC3.1,Security objectives,Clause 6.2;A.5.1,Objectives; Policies,Yes - objectives doc,iso27001/01-leadership-policy-roles.md,Direct mapping
CC3.2,Risk identification/analysis,Clause 6.1.2;A.5.7,Risk assessment; Threat intelligence,Yes - risk register,iso27001/03-risk-register.csv,Direct mapping
CC3.3,Fraud risk,Clause 6.1.2,Risk assessment,Yes - included in risk assessment,iso27001/03-risk-register.csv,Part of risk assessment
CC3.4,Change assessment,A.5.8;A.8.32,Project management; Change management,Yes - PR descriptions,GitHub PRs,Direct mapping
CC4.1,Monitoring activities,Clause 9.1;A.8.16,Monitoring measurement; Monitoring activities,Yes - monitoring configs,evidence-vault/soc2/YYYY/MM/logging-monitoring/,Direct mapping
CC4.2,Deficiency communication,Clause 9.2;A.5.36,Internal audit; Compliance,Partial - ISO requires formal internal audit,iso27001/07-internal-audit-program.md,Audit required
CC5.1,Control selection,Clause 6.1.3;SoA,Risk treatment; Statement of Applicability,Yes - SoA serves both,iso27001/05-statement-of-applicability.csv,Direct mapping
CC5.2,Technology controls,A.8 (all),Technological controls,Yes - technical configs,evidence-vault/soc2/YYYY/MM/ci-cd-security/,Direct mapping
CC5.3,Policy deployment,A.5.1;Clause 7.5,Policies; Documented information,Yes - policies,soc2/policies/,Direct mapping
CC6.1,Access security,A.5.15;A.8.2-3,Access control; Privileged access; Access restriction,Yes - access configs,evidence-vault/soc2/YYYY/MM/access-reviews/,Direct mapping
CC6.2,Access provisioning,A.5.16;A.5.18,Identity management; Access rights,Yes - onboarding records,soc2/procedures/employee-onboarding-checklist.md,Direct mapping
CC6.3,Access removal,A.5.11;A.5.18;A.6.5,Return of assets; Access rights; Termination,Yes - offboarding records,soc2/procedures/employee-offboarding-checklist.md,Direct mapping
CC6.4,Access review,A.5.18,Access rights,Yes - quarterly reviews,soc2/procedures/quarterly-access-review.md,Direct mapping
CC6.5,Physical access,A.7.1-7.6,Physical controls,Inherited from AWS,evidence-vault/soc2/YYYY/vendor-management/,AWS SOC 2 report
CC6.6,Authentication,A.5.17;A.8.5,Authentication information; Secure authentication,Yes - MFA evidence,evidence-vault/soc2/YYYY/MM/access-reviews/,Direct mapping
CC6.7,RBAC,A.5.18;A.8.2-3,Access rights; Privileged access; Access restriction,Yes - RBAC configs,evidence-vault/soc2/YYYY/MM/access-reviews/,Direct mapping
CC6.8,Malware protection,A.8.7,Protection against malware,Yes - scanning reports,evidence-vault/soc2/YYYY/MM/vuln-management/,Direct mapping
CC7.1,Vulnerability detection,A.5.7;A.8.8,Threat intelligence; Technical vulnerability management,Yes - vuln reports,evidence-vault/soc2/YYYY/MM/vuln-management/,55 vulns fixed
CC7.2,System monitoring,A.8.15-16,Logging; Monitoring activities,Yes - log configs,evidence-vault/soc2/YYYY/MM/logging-monitoring/,Direct mapping
CC7.3,Event evaluation,A.5.25,Assessment and decision on security events,Yes - alert triage,evidence-vault/soc2/YYYY/MM/incident-response/,Direct mapping
CC7.4,Incident response,A.5.24-28,Incident management controls,Yes - IR records,soc2/policies/incident-response-policy.md,Direct mapping
CC7.5,Recovery,A.5.27;A.5.29-30,Learning from incidents; Continuity,Yes - recovery tests,evidence-vault/soc2/YYYY/backups-dr/,Direct mapping
