Risk_ID,Risk_Description,Current_Risk_Level,Treatment_Option,Treatment_Actions,Expected_Residual_Risk,Resources_Required,Timeline,Owner,Status,Completion_Evidence,ISO_Controls,Notes
RISK-001,Supply chain vulnerability in dependencies,High (15),Mitigate,"1. Pin dependency versions in go.mod/package.json; 2. Review Dependabot alerts weekly; 3. Generate and publish SBOM with releases; 4. Sign releases with GPG",Medium (8),$0 (tooling exists),Ongoing,Carlos Sanchez,Implemented,"Remediation cycle 1 (2026-01-17): 55 vulns fixed. Cycle 2 (2026-03-23): 35 critical+high fixed same-day (grpc auth bypass, otel PATH hijack, fast-xml-parser, serialize-js, urllib3, etc). Evidence: vault d06914b",A.5.21; A.8.8,Active weekly scanning + same-day critical remediation demonstrated. 20 medium/low remain.
RISK-002,Solo founder single point of failure,High (10),Mitigate + Accept,"1. Create comprehensive runbooks; 2. Document emergency contact procedures; 3. Evaluate key person insurance; 4. Ensure all credentials in password manager",Medium (8),$500-1000/year (insurance),2026-03-01,Carlos Sanchez,In Progress,Runbooks in git; password manager configured,A.5.29; A.5.30,Some residual risk accepted
RISK-003,No corporate identity provider,Medium (9),Mitigate,"1. Set up Google Workspace; 2. Configure SSO for GitHub/AWS; 3. Enforce MFA via IdP; 4. Migrate from personal accounts",Low (2),$6/user/month,2026-03-01,Carlos Sanchez,Planned,Google Workspace admin console; SSO configs,A.5.16; A.5.17; A.8.5,Pending budget approval
RISK-004,GitHub personal account limitations,Medium (8),Mitigate,"1. Create GitHub organization; 2. Transfer all 3 repos; 3. Enable GitHub Advanced Security; 4. Configure org-level security settings",Low (3),$0-21/user/month,2026-03-01,Carlos Sanchez,Planned,GitHub org settings export,A.5.15; A.8.4,May require paid plan
RISK-005,Insider threat from future employees,Medium (8),Mitigate,"1. Implement background checks for hires; 2. Use onboarding/offboarding checklists; 3. Require NDA signing; 4. Quarterly access reviews",Low (3),$100-500/background check,Before first hire,Carlos Sanchez,Procedures Ready,Checklists in soc2/procedures/,A.6.1; A.6.2; A.6.5,Ready for first hire
RISK-006,AWS GovCloud outage,Low (4),Accept,"No additional treatment. AWS SLA adequate. Git provides code backup.",Low (4),$0,N/A,Carlos Sanchez,Accepted,Risk acceptance record in this file,A.8.14,Accepted 2026-01-17
RISK-007,Credential exposure in code,Medium (9),Mitigate,"1. Enable GitHub secret scanning; 2. Implement pre-commit hooks; 3. Create secret rotation procedure; 4. Training on secure coding",Low (4),$0 (tooling exists),2026-02-15,Carlos Sanchez,In Progress,Secret scanning alert count; pre-commit config,A.5.17; A.8.12,Secret scanning enabled
RISK-008,Phishing attack on founder,High (12),Mitigate,"1. Procure FIDO2 hardware security keys; 2. Register keys on all critical accounts; 3. Enable advanced phishing protection; 4. Security awareness refresher",Medium (6),$50-100 for keys,2026-02-15,Carlos Sanchez,In Progress,MFA method audit; security key registration,A.5.7; A.6.3,YubiKey purchase planned
RISK-009,Certification audit failure,Medium (6),Mitigate,"1. Conduct internal audit (external auditor); 2. Conduct management review; 3. Address all findings; 4. Pre-audit readiness assessment",Low (2),$2-5K (internal audit),2026-05-01,Carlos Sanchez,In Progress,Internal audit report; management review minutes,Clause 9.2; Clause 9.3,Critical path for certification
RISK-010,Laptop theft/loss exposure,Medium (8),Mitigate,"1. Enable Find My Mac / remote wipe; 2. Configure biometric auth; 3. Ensure encrypted Time Machine backups; 4. Document recovery procedure",Low (3),$0 (built-in features),2026-03-01,Carlos Sanchez,Planned,Device config screenshots; recovery procedure,A.7.9; A.8.1,Use built-in Apple/Windows features
