Risk_ID,Description,Asset,Threat,Vulnerability,Existing_Controls,Likelihood_Inherent,Impact_Inherent,Risk_Score_Inherent,Risk_Level_Inherent,Treatment_Option,Additional_Controls,Likelihood_Residual,Impact_Residual,Risk_Score_Residual,Risk_Level_Residual,Owner,Due_Date,Status,ISO_Controls,SOC2_Controls,Notes
RISK-001,Compromised third-party dependency introduces malicious code or vulnerability into Aegis platform,Source code; customer deployments,Supply chain attack (compromised npm/Go package),Dependencies not fully audited; reliance on external maintainers,Dependabot alerts; SBOM generation; container scanning,3,5,15,High,Mitigate,Pin dependency versions; review Dependabot alerts weekly; sign releases,2,4,8,Medium,Carlos Sanchez,Ongoing,Implemented,A.5.21; A.8.8,CC7.1; CC9.1,All vulns fixed across 3 repos
RISK-002,All knowledge/access/decisions concentrated in single person creates continuity risk,All information assets; business operations,Founder unavailability (illness; accident; departure),No backup personnel; undocumented knowledge,Documentation in git; password manager; policies documented,2,5,10,High,Mitigate + Accept,Runbooks; emergency contact procedures; key person insurance consideration,2,4,8,Medium,Carlos Sanchez,2026-03-01,In Progress,A.5.29; A.5.30,CC9.2,Solo founder limitation
RISK-003,Using personal accounts for corporate services limits access control and audit capabilities,All corporate systems,Unauthorized access; weak authentication,Personal accounts; no centralized identity management,MFA on all accounts; strong passwords,3,3,9,Medium,Mitigate,Implement Google Workspace; SSO for all services,1,2,2,Low,Carlos Sanchez,2026-03-01,Planned,A.5.16; A.5.17; A.8.5,CC6.1; CC6.6,IdP implementation pending
RISK-004,Source code hosted under personal GitHub account limits organizational controls,Source code; intellectual property,Account compromise; access control limitations,Personal account; limited GitHub security features,MFA; branch protection; Dependabot,2,4,8,Medium,Mitigate,Create GitHub organization; transfer repos; enable Advanced Security,1,3,3,Low,Carlos Sanchez,2026-03-01,Planned,A.5.15; A.8.4,CC6.1; CC6.7,Pending org migration
RISK-005,Future employees or contractors could misuse access or act maliciously,Source code; customer data; infrastructure,Malicious insider; negligent employee,Trust-based access model; limited monitoring for small team,Access reviews; least privilege; audit logging,2,4,8,Medium,Mitigate,Background checks; onboarding/offboarding checklists; NDA,1,3,3,Low,Carlos Sanchez,Before first hire,Procedures Ready,A.6.1; A.6.2; A.6.5,CC6.2; CC6.3,Procedures documented
RISK-006,AWS GovCloud outage affects development and CI/CD,Development infrastructure; CI/CD,Cloud provider service disruption,Dependency on single cloud provider,AWS multi-AZ; git-based code backup,2,2,4,Low,Accept,None required,2,2,4,Low,Carlos Sanchez,N/A,Accepted,A.8.14,A1.2,Dev-only impact; cost of multi-cloud exceeds benefit
RISK-007,Secrets accidentally committed to source code repository,API keys; passwords; certificates,Accidental disclosure,Human error in development,.gitignore; code review,3,3,9,Medium,Mitigate,Pre-commit hooks; secret scanning; rotate exposed secrets,2,2,4,Low,Carlos Sanchez,2026-02-15,In Progress,A.5.17; A.8.12,CC6.1,GitHub secret scanning enabled
RISK-008,Founder targeted by phishing to gain access to systems,All systems accessible via stolen credentials,Phishing; spear phishing; social engineering,Human factor,MFA; security awareness,3,4,12,High,Mitigate,Hardware security keys (FIDO2); email filtering; awareness training,2,3,6,Medium,Carlos Sanchez,2026-02-15,In Progress,A.5.7; A.6.3,CC6.6; CC7.3,FIDO2 keys planned
RISK-009,Failure to achieve or maintain SOC 2/ISO 27001 certification,Business reputation; customer trust,Audit failure; nonconformity,New compliance program; limited resources,Documented ISMS; evidence collection; internal audit program,2,3,6,Medium,Mitigate,Pre-audit readiness assessment; gap remediation plan,1,2,2,Low,Carlos Sanchez,2026-05-01,In Progress,Clause 9.2; Clause 9.3,CC4.1; CC4.2,Internal audit required before audit ready
RISK-010,Laptop theft or loss exposes source code and credentials,Developer workstation; source code; credentials,Physical theft; device loss,Mobile device; public locations,FileVault encryption; strong passwords; MFA,2,4,8,Medium,Mitigate,Remote wipe capability; biometric auth; encrypted backups,1,3,3,Low,Carlos Sanchez,2026-03-01,Planned,A.7.9; A.8.1,CC6.6,Consider MDM solution
