V-Number,Finding Title,Severity,Status,NIST Control Cross-Ref,Aegis Implementation Summary,Evidence File/Path,Gap Description
V-242376,Controller Manager must use TLS 1.2+,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control; Aegis app enforces TLS 1.2+,services/platform-api/internal/server/server.go:2930,Customer must configure Controller Manager
V-242377,Scheduler must use TLS 1.2+,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control,docs/compliance/customer-docs/configuration-hardening-guide.md,Customer must configure Scheduler
V-242378,API Server must use TLS 1.2+,CAT II,Customer Responsibility,SC-8,Cluster infrastructure control; Aegis gRPC server enforces TLS 1.2+,services/platform-api/internal/server/server.go:2930,Customer must configure API Server
V-242379,etcd must use TLS (auto-tls disabled),CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis does not interact with etcd,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242380,etcd must use TLS (peer-auto-tls disabled),CAT II,Customer Responsibility,SC-8,Cluster infrastructure; Aegis does not interact with etcd,docs/shared-responsibility-matrix.md,EKS manages etcd (inherently met)
V-242381,Controller Manager must create unique service accounts,CAT I,Customer Responsibility,AC-6,Cluster infrastructure; Aegis creates dedicated service accounts per component,charts/aegis-services/templates/platform-api-serviceaccount.yaml,Customer must set --use-service-account-credentials=true
V-242382,API Server must enable Node RBAC authorization mode,CAT I,Customer Responsibility,AC-3,Cluster infrastructure; Aegis requires RBAC and implements app-level RBAC,services/platform-api/internal/authz/policy.go:49-82,Customer must set --authorization-mode=Node RBAC
V-242383,User-managed resources must be in dedicated namespaces,CAT I,Satisfied,AC-3,All Aegis components deploy to dedicated namespaces (aegis-system); project namespaces per tenant,charts/aegis-services/templates/platform-api-deployment.yaml,None
V-242384,Scheduler must have secure binding,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages scheduler
V-242385,Controller Manager must have secure binding,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS manages Controller Manager
V-242386,API Server must have insecure port flag disabled,CAT I,Customer Responsibility,CM-6b,Cluster infrastructure; Aegis services use TLS-only ports,services/platform-api/internal/server/server.go:2926-2958,Customer must set --insecure-port=0
V-242387,Kubelet must have read-only port disabled,CAT I,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --read-only-port=0
V-242388,API Server must have insecure bind address not set,CAT I,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must remove --insecure-bind-address
V-242389,API Server must have the secure port set,CAT II,Customer Responsibility,CM-6b,Cluster infrastructure control,docs/shared-responsibility-matrix.md,EKS defaults to port 443
V-242390,API Server must have anonymous authentication disabled,CAT I,Customer Responsibility,AC-3,Cluster infrastructure; Aegis API requires OIDC JWT auth,services/platform-api/internal/server/mw/auth.go:94-99,Customer must set --anonymous-auth=false
V-242391,Kubelet must have anonymous authentication disabled,CAT I,Customer Responsibility,AC-3,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --anonymous-auth=false
V-242392,Kubelet must enable explicit authorization,CAT I,Customer Responsibility,AC-3,Cluster infrastructure control,docs/shared-responsibility-matrix.md,Customer must set --authorization-mode=Webhook
